"kpgzCode";"kpgzName";"global_id";
"Код КПГЗ";"Наименование КПГЗ";"global_id";
"01.02.09.01.09";"ПРЕПАРАТЫ, СПОСОБСТВУЮЩИЕ ПИЩЕВАРЕНИЮ (ВКЛЮЧАЯ ФЕРМЕНТНЫЕ ПРЕПАРАТЫ),A09";"638861809";
"01.02.09.01.13";"ОБЩЕТОНИЗИРУЮЩИЕ ПРЕПАРАТЫ,A13";"638861811";
"01.02.09.03.07";"БЕТА-АДРЕНОБЛОКАТОРЫ, C07";"638861815";
"01.02.09.04.04";"ПРЕПАРАТЫ ДЛЯ ЛЕЧЕНИЯ ЗУДА (ВКЛЮЧАЯ АНТИГИСТАМИННЫЕ ПРЕПАРАТЫ И АНЕСТЕТИКИ,D04";"638861817";
"01.02.09.07.07";"ВАКЦИНЫ,J07";"638861819";
"01.02.09.08.02";"ПРОТИВООПУХОЛЕВЫЕ ГОРМОНАЛЬНЫЕ ПРЕПАРАТЫ,L02";"638861821";
"01.02.09.09.05";"ПРЕПАРАТЫ ДЛЯ ЛЕЧЕНИЯ ЗАБОЛЕВАНИЙ КОСТЕЙ,M05";"638861823";
"01.02.09.12.01";"НАЗАЛЬНЫЕ ПРЕПАРАТЫ,R01";"638861825";
"01.02.09.13.03.01";"ПРОТИВОМИКРОБНЫЕ ПРЕПАРАТЫ, S03A";"638861827";
"01.02.09.14.09";"РАДИОФАРМАЦЕВТИЧЕСКИЕ СРЕДСТВА ДИАГНОСТИЧЕСКИЕ,V09";"638861829";
"01.02.09.14.99.03";"ГОМЕОПАТИЧЕСКИЕ СРЕДСТВА";"638861831";
"01.03.01.00";"СИСТЕМЫ ОХРАННОЙ, ПОЖАРНОЙ СИГНАЛИЗАЦИИ КОМПЛЕКТНЫЕ";"638861833";
"01.03.02";"СИСТЕМЫ КОНТРОЛЯ ДОСТУПА И ОБОРУДОВАНИЕ ДЛЯ НИХ";"638861835";
"01.03.02.11";"СИСТЕМЫ КОНТРОЛЯ И УПРАВЛЕНИЯ ДОСТУПОМ";"638861837";
"01.03.03.01";"КАМЕРЫ ВИДЕОНАБЛЮДЕНИЯ";"638861839";
"01.03.05.04";"ТЕХНИЧЕСКИЕ СРЕДСТВА ДЛЯ ОРГАНИЗАЦИИ ДОСМОТРА ПОСЕТИТЕЛЕЙ";"638861841";
"01.04.01.13.03";"СРЕДСТВА ДЛЯ СПАСЕНИЯ С ВЫСОТЫ";"638861843";
"01.16.05.02";"КОМОДЫ";"638861845";
"01.04.01.99";"ИНВЕНТАРЬ ДЛЯ СПАСАТЕЛЬНЫХ СЛУЖБ И СЛУЖБ ГРАЖДАНСКОЙ ОБОРОНЫ ПРОЧИЙ";"638861849";
"01.04.03.02";"МОБИЛЬНЫЕ АВАРИЙНО-СПАСАТЕЛЬНЫЕ ТРАНСПОРТНЫЕ СРЕДСТВА";"638861851";
"01.04.03.04.01";"КАТЕРА";"638861853";
"01.04.04.02";"СИСТЕМЫ ОПОВЕЩЕНИЯ НАСЕЛЕНИЯ О ЧРЕЗВЫЧАЙНЫХ СИТУАЦИЯХ";"638861855";
"01.06.01.02";"ПАРТЫ УЧЕНИЧЕСКИЕ";"638861859";
"01.06.02";"ОБОРУДОВАНИЕ УЧЕБНОЕ ЭЛЕКТРОННОЕ";"638861861";
"01.06.02.01.04";"КОММУТАЦИОННЫЕ УСТРОЙСТВА УЧЕБНЫЕ";"638861863";
"01.07.03.01";"ИНСТРУМЕНТЫ СТРУННЫЕ И ЯЗЫЧКОВЫЕ";"638861867";
"01.07.03.01.03.03";"ВИОЛОНЧЕЛИ АКУСТИЧЕСКИЕ";"638861869";
"01.07.03.02.01";"ИНСТРУМЕНТЫ ДУХОВЫЕ АМБУШЮРНЫЕ С ВЕНТИЛЬНЫМ МЕХАНИЗМОМ";"638861871";
"01.07.03.02.05.02";"ФАГОТЫ";"638861873";
"01.07.03.03.04.06";"ПОГРЕМУШКИ";"638861875";
"01.07.04";"ОБОРУДОВАНИЕ СЦЕНИЧЕСКОЕ";"638861877";
"01.13.11.03.05.13";"ЦЕНТРЫ МУЗЫКАЛЬНЫЕ";"638861879";
"01.13.04.01.09";"КИНОПРОЕКТОРЫ ЦИФРОВЫЕ 3D";"638861881";
"01.13.04.01.11";"ВИДЕОПРОЕКТОРЫ ДЛЯ КИНОТЕАТРОВ";"638861883";
"01.07.05.01";"КРАСКИ ДЛЯ РИСОВАНИЯ";"638861885";
"01.07.06.01.09";"ПРИНАДЛЕЖНОСТИ И ЗАПАСНЫЕ ЧАСТИ ДЛЯ КЛАВИШНЫХ ИНСТРУМЕНТОВ";"638861887";
"01.01.01.02.01.08";"МУКА СОЕВАЯ";"638861889";
"01.01.01.02.03.01";"КРАХМАЛ";"638861891";
"01.01.01.05";"САХАР И СОЛЬ";"638861893";
"01.01.01.05.01";"САХАР";"638861895";
"01.07.06.02.01";"ЗАПАСНЫЕ ЧАСТИ К ЦИФРОВЫМ 3D КИНОПРОЕКТОРАМ";"638861897";
"01.07.06.02.03";"ЗАПАСНЫЕ ЧАСТИ К ВИДЕОПРОЕКТОРАМ ДЛЯ КИНОТЕАТРОВ";"638861899";
"01.07.06.04.01";"ЧАСТИ ДЛЯ РЕСТАВРАЦИОННОГО ОБОРУДОВАНИЯ";"638861901";
"01.07.07.04";"ПРОДУКЦИЯ ХИМИЧЕСКАЯ ДЛЯ РЕСТАВРАЦИИ";"638861903";
"01.07.09.03";"АВТОМАТЫ ИГРОВЫЕ";"638861905";
"01.07.11.03.01";"РЕКВИЗИТ ДЛЯ ТЕАТРАЛЬНЫХ ПОСТАНОВОК";"638861907";
"01.08.01.01.01";"СПОРТИВНЫЕ ТРЕНАЖЕРЫ";"638861909";
"01.08.01.01.05";"НАСОСЫ ВОЗДУШНЫЕ ДЛЯ НАКАЧИВАНИЯ МЯЧЕЙ";"638861911";
"01.08.01.01.09";"СУДЕЙСКИЙ ИНВЕНТАРЬ";"638861913";
"01.08.01.01.10";"ОБЩИЙ ИНВЕНТАРЬ ДЛЯ СПОРТИВНЫХ ИГР";"638861915";
"01.08.01.07";"ОБОРУДОВАНИЕ И ИНВЕНТАРЬ ДЛЯ КОНЬКОБЕЖНОГО СПОРТА";"638861917";
"01.08.01.19";"ОБОРУДОВАНИЕ И ИНВЕНТАРЬ ДЛЯ ЛЫЖНОГО СПОРТА";"638861919";
"01.08.01.21";"ОБОРУДОВАНИЕ И ИНВЕНТАРЬ ДЛЯ БОЛЬШОГО ТЕННИСА";"638861921";
"01.08.02.23";"СПОРТИВНАЯ ЭКИПИРОВКА ДЛЯ КОННОГО СПОРТА";"638861925";
"01.08.02.25";"СПОРТИВНАЯ ЭКИПИРОВКА ДЛЯ ГОЛЬФА";"638861927";
"01.01.01.07";"МЕД";"638861929";
"01.01.01.12.01.01";"МАСЛО ПОДСОЛНЕЧНОЕ РАФИНИРОВАННОЕ";"638861931";
"01.01.02.18";"ТЫКВА СТОЛОВАЯ";"638861933";
"01.01.02.23";"ГОРОХ";"638861937";
"01.01.02.35.05";"ИКРА ОВОЩНАЯ";"638861941";
"01.01.03.10";"АНАНАСЫ";"638861943";
"01.01.03.11";"ДЫНИ";"638861945";
"01.09.01.10";"ТРОЛЛЕЙБУСЫ";"638861957";
"01.10";"ОБОРУДОВАНИЕ ЭНЕРГЕТИЧЕСКОЕ, ОСВЕТИТЕЛЬНЫЕ ПРИБОРЫ, ГОРЮЧЕ-СМАЗОЧНЫЕ МАТЕРИАЛЫ";"638861959";
"01.10.02.03";"ЖИДКОСТИ ОХЛАЖДАЮЩИЕ, ВКЛЮЧАЯ АНТИФРИЗ";"638861961";
"01.10.05.01.01";"ОБОРУДОВАНИЕ ДЛЯ СОЗДАНИЯ СВЕТОВЫХ ЭФФЕКТОВ";"638861963";
"01.10.05.01.07";"ТЕХНИЧЕСКИЕ СРЕДСТВА ОСВЕЩЕНИЯ";"638861965";
"01.10.05.02.01";"ЛАМПЫ НАКАЛИВАНИЯ";"638861967";
"01.01.06.05";"ИЗДЕЛИЯ СУХАРНЫЕ";"638861969";
"01.01.07.01";"КОНФЕТЫ";"638861973";
"01.01.07.03";"ПЕЧЕНЬЕ";"638861977";
"01.10.05.02.03";"ЛАМПЫ ЭНЕРГОСБЕРЕГАЮЩИЕ";"638861981";
"01.10.05.03";"ПРИБОРЫ ОСВЕТИТЕЛЬНЫЕ";"638861983";
"01.10.05.03.03";"ПРОЖЕКТОРЫ";"638861985";
"01.11.01.01.02";"УСТАНОВКИ ВЕНТИЛЯЦИОННЫЕ";"638861987";
"01.11.01.02.05";"РАСХОДНЫЕ МАТЕРИАЛЫ ДЛЯ СИСТЕМ КОНДИЦИОНИРОВАНИЯ";"638861993";
"01.11.01.03.11.01";"ТЕРМОСТАТЫ";"638861997";
"01.11.01.03.11.02";"УЗЛЫ УПРАВЛЕНИЯ АВТОМАТИЗИРОВАННЫЕ";"638861999";
"01.11.01.03.11.99";"ЗАПЧАСТИ И КОМПЛЕКТУЮЩИЕ ДЛЯ ОТОПИТЕЛЬНОГО ОБОРУДОВАНИЯ ПРОЧИЕ";"638862001";
"01.11.01.06.03";"ПРИБОРЫ УЧЕТА ТЕПЛОВОЙ ЭНЕРГИИ";"638862005";
"01.11.01.08";"ОБОРУДОВАНИЕ ЭЛЕКТРОТЕХНИЧЕСКОЕ";"638862007";
"01.01.07.12";"ИРИС";"638862009";
"01.01.08.01.04";"СВИНИНА";"638862011";
"01.01.08.01.08";"МЯСО КАБАНЬЕ";"638862013";
"01.01.08.03.01";"ИЗДЕЛИЯ КОЛБАСНЫЕ";"638862017";
"01.01.09.01";"ЯЙЦА ПТИЦ В СКОРЛУПЕ";"638862021";
"01.01.09.02";"ЯЙЦА ПТИЦ БЕЗ СКОРЛУПЫ КОНСЕРВИРОВАННЫЕ ИЛИ ВАРЕНЫЕ, ЖЕЛТКИ И БЕЛКИ ЯИЧНЫЕ СВЕЖИЕ ИЛИ КОНСЕРВИРОВАННЫЕ";"638862023";
"01.01.10.01.05";"МОЛОКО СУХОЕ, СУБЛИМИРОВАННОЕ";"638862025";
"01.01.10.03.03";"МАССА ТВОРОЖНАЯ";"638862027";
"01.01.10.05.06";"ЙОГУРТЫ";"638862029";
"01.11.02.01.03";"ШУРУПОВЕРТЫ ЭЛЕКТРИЧЕСКИЕ";"638862035";
"01.11.02.01.10";"ЭЛЕКТРОПИЛЫ ЦЕПНЫЕ";"638862037";
"01.11.02.01.99";"ИНСТРУМЕНТ МОТОРИЗОВАННЫЙ ПРОЧИЙ";"638862039";
"01.11.02.02.01";"ИНСТРУМЕНТ РУЧНОЙ СТОЛЯРНЫЙ, СЛЕСАРНЫЙ";"638862041";
"01.11.02.02.99";"ИНСТРУМЕНТ РУЧНОЙ ПРОЧИЙ";"638862043";
"01.11.02.05.03";"ПАЯЛЬНИКИ";"638862045";
"01.11.02.09";"РАБОЧИЕ ОРГАНЫ ИНСТРУМЕНТОВ СМЕННЫЕ";"638862047";
"01.01.12.07";"КРАБЫ";"638862049";
"01.01.13";"ДЕТСКОЕ ПИТАНИЕ ДЛЯ РАЗДАЧИ ЧЕРЕЗ МОЛОЧНО-РАЗДАТОЧНЫЕ ПУНКТЫ";"638862051";
"01.01.15.08.07";"ПИВО";"638862053";
"01.11.03.04.03";"ПЕСОК";"638862057";
"01.11.03.05.01";"ЭМАЛИ";"638862059";
"01.11.03.05.09";"ОЛИФЫ";"638862061";
"01.11.03.09";"МАТЕРИАЛЫ ИЗОЛЯЦИОННЫЕ";"638862063";
"01.11.03.12.05.03";"ПЛИТКА НАПОЛЬНАЯ ИЗ ПРИРОДНОГО КАМНЯ";"638862069";
"01.11.04.04";"КАНАТЫ, ШНУРЫ, ТРОСЫ";"638862073";
"01.11.05.06";"МАТЕРИАЛЫ И КОНСТРУКЦИИ СТРОИТЕЛЬНЫЕ ИЗ ПОЛИМЕРНЫХ МАТЕРИАЛОВ (КРОМЕ ТРУБ)";"638862075";
"01.11.06.01.03";"ТРУБЫ МЕТАЛЛОПЛАСТИКОВЫЕ";"638862077";
"01.11.06.04";"АРМАТУРА СОЕДИНИТЕЛЬНАЯ, ЗАПОРНО-РЕГУЛИРУЮЩАЯ";"638862079";
"01.11.08.02";"ПЛИТЫ ОГНЕЗАЩИТНЫЕ";"638862081";
"01.11.09.03.03";"ОПАЛУБКА";"638862085";
"01.11.10";"КОНСТРУКЦИИ БЫСТРОВОЗВОДИМЫЕ";"638862087";
"01.01.16.05";"ПОЛУФАБРИКАТЫ МЯСНЫЕ";"638862089";
"01.12.01.22";"ТЕХНИКА ТОННЕЛЕПРОХОДЧЕСКАЯ";"638862123";
"01.12.04.03";"ТРАКТОРЫ";"638862139";
"01.13.01.01.02.01";"АРМ СТАЦИОНАРНЫЕ МОДУЛЬНЫЕ ГРАФИЧЕСКИЕ";"638862145";
"01.13.01.02.01";"НОУТБУК";"638862147";
"01.13.02.07";"СЛОВАРИ ЭЛЕКТРОННЫЕ";"638862149";
"01.13.04.01";"УСТРОЙСТВА ОТОБРАЖЕНИЯ ИНФОРМАЦИИ";"638862151";
"01.13.04.01.01";"МОНИТОРЫ";"638862153";
"01.13.04.02.01.04";"ПРИНТЕРЫ МАТРИЧНЫЕ";"638862157";
"01.13.04.04.03";"МЫШЬ КОМПЬЮТЕРНАЯ";"638862163";
"01.13.04.99.01";"ДОСКИ ИНТЕРАКТИВНЫЕ";"638862165";
"01.13.05.05";"СИСТЕМЫ ХРАНЕНИЯ ДАННЫХ СО СЪЕМНЫМИ ОПТИЧЕСКИМИ НОСИТЕЛЯМИ (БИБЛИОТЕКИ)";"638862167";
"01.13.06.07";"ПРИНТ-СЕРВЕРЫ";"638862185";
"01.13.07.03";"ШКАФЫ ТЕЛЕКОММУНИКАЦИОННЫЕ";"638862187";
"01.13.07.05.01";"УСТРОЙСТВА БЕСПЕРЕБОЙНОГО ПИТАНИЯ";"638862189";
"01.13.07.05.01.01";"СИСТЕМЫ БЕСПЕРЕБОЙНОГО ПИТАНИЯ ЦЕНТРАЛИЗОВАННЫЕ";"638862191";
"01.13.07.05.03";"ЩИТЫ ЭЛЕКТРОТЕХНИЧЕСКИЕ";"638862193";
"01.13.08.04";"ОБОРУДОВАНИЕ КРОСС-КОММУТАЦИОННОЕ И РАСПРЕДЕЛИТЕЛЬНОЕ ДЛЯ СЕТЕЙ И ЛИНИЙ СВЯЗИ";"638862197";
"01.13.09.03.08";"КОМПЛЕКТУЮЩИЕ, ЗАПАСНОЕ И ДОПОЛНИТЕЛЬНОЕ ОБОРУДОВАНИЕ ДЛЯ АТС";"638862201";
"01.13.09.05.01";"УСТРОЙСТВА СПУТНИКОВОЙ СВЯЗИ ПРИЕМНЫЕ";"638862203";
"01.13.09.99.02";"СРЕДСТВА И СИСТЕМЫ ПРЯМОЙ ДИСПЕТЧЕРСКОЙ СВЯЗИ И ОПОВЕЩЕНИЯ";"638862205";
"01.13.11.03.04.01";"ФОТОАППАРАТЫ ПЛЕНОЧНЫЕ";"638862207";
"01.13.11.03.04.04";"ОБОРУДОВАНИЕ ДЛЯ ФОТОЛАБОРАТОРИЙ";"638862227";
"01.13.11.03.04.05";"ОБОРУДОВАНИЕ ДЛЯ МИКРОФИЛЬМИРОВАНИЯ";"638862229";
"01.13.11.03.05.07";"НАУШНИКИ";"638862237";
"01.13.11.03.05.09";"ДОМАШНИЕ КИНОТЕАТРЫ";"638862239";
"01.13.12.04";"КИОСКИ ЭЛЕКТРОННЫЕ САМООБСЛУЖИВАНИЯ";"638862241";
"01.13.12.06.01.02";"СИСТЕМЫ ОБНАРУЖЕНИЯ ВТОРЖЕНИЯ АППАРАТНО-ПРОГРАММНЫЕ (IDS)";"638862243";
"01.13.12.06.02";"СРЕДСТВА И СИСТЕМЫ ЗАЩИТЫ ИНФОРМАЦИИ КРИПТОГРАФИЧЕСКИЕ";"638862247";
"01.13.13.05";"ДИСКИ ОПТИЧЕСКИЕ";"638862261";
"01.11.02.02.07.02";"ОТВЕРТКИ";"638862265";
"01.13.17.02";"МАТЕРИНСКИЕ ПЛАТЫ";"638862267";
"01.13.17.99";"КОМПЛЕКТУЮЩИЕ ИНФОРМАЦИОННО-ТЕХНОЛОГИЧЕСКОГО ОБОРУДОВАНИЯ ПРОЧИЕ";"638862271";
"01.14";"ЛИТЕРАТУРА И ПОЛИГРАФИЧЕСКАЯ ПРОДУКЦИЯ";"638862273";
"01.14.11";"ПОСТЕРЫ В РАМЕ";"638862277";
"01.15.01.02.04";"БУМАГА МИКАЛЕНТНАЯ";"638862281";
"01.15.01.04";"КАРТОН";"638862283";
"01.15.01.07";"БЛОКИ БУМАЖНЫЕ ДЛЯ ЗАПИСЕЙ";"638862285";
"01.15.01.99.01";"БУМАГА УПАКОВОЧНАЯ";"638862287";
"01.20.07.03.02";"ОДЕЯЛА";"638862441";
"01.20.07.03.03";"МАТРАЦЫ";"638862443";
"01.20.10.01";"РАСХОДНЫЕ МАТЕРИАЛЫ, КОМПЛЕКТУЮЩИЕ, ЗАПАСНЫЕ ЧАСТИ ДЛЯ КУХОННОГО ОБОРУДОВАНИЯ";"638862447";
"01.20.12";"ЗЕРКАЛА ИНТЕРЬЕРНЫЕ";"638862449";
"01.20.99";"ТОВАРЫ ХОЗЯЙСТВЕННЫЕ ПРОЧИЕ";"638862451";
"01.20.99.02.01";"ЧАСЫ НАСТЕННЫЕ";"638862453";
"01.20.99.02.02";"ЧАСЫ НАПОЛЬНЫЕ";"638862455";
"01.20.99.02.03";"ЧАСЫ НАСТОЛЬНЫЕ И КАМИННЫЕ";"638862457";
"01.20.99.05";"ИНСТРУМЕНТ БЫТОВОЙ ПРОЧИЙ";"638862459";
"01.22";"НЕДВИЖИМОСТЬ";"638862461";
"01.22.02";"ЗДАНИЯ, СООРУЖЕНИЯ";"638862463";
"01.24.04.04";"ПОДОДЕЯЛЬНИКИ";"638862467";
"01.25.02.01.08";"МАРМИТЫ КУХОННЫЕ ПРОМЫШЛЕННЫЕ";"638862471";
"01.25.02.02";"ОБОРУДОВАНИЕ ДЛЯ ПОДГОТОВКИ ПИЩИ";"638862473";
"01.25.02.99.02";"УСТРОЙСТВА ДЛЯ ЗАТОЧКИ НОЖЕЙ КУХОННЫЕ ПРОМЫШЛЕННЫЕ";"638862475";
"01.25.03.02";"ОБОРУДОВАНИЕ УБОРОЧНОЕ";"638862477";
"02.02.01.03";"РАЗРАБОТКА ПСД НА СООРУЖЕНИЯ";"638862495";
"02.02.05.01";"ВЫПОЛНЕНИЕ ПРОЕКТНО-ИЗЫСКАТЕЛЬСКИХ РАБОТ ПО ОБЪЕКТАМ ТРАНСПОРТНОЙ СИСТЕМЫ";"638862501";
"02.02.05.03.06";"ВЫПОЛНЕНИЕ ПРОЕКТНО-ИЗЫСКАТЕЛЬСКИХ РАБОТ ПО ВСПОМОГАТЕЛЬНЫМ ОБЪЕКТАМ ОБРАЗОВАНИЯ";"638862505";
"02.02.05.04.04";"ВЫПОЛНЕНИЕ ПРОЕКТНО-ИЗЫСКАТЕЛЬСКИХ РАБОТ ПО СПЕЦИАЛИЗИРОВАННЫМ ОБЪЕКТАМ ДЛЯ ПРОЖИВАНИЯ СО СПЕЦИАЛИЗИРОВАННЫМ МЕДИЦИНСКИМ ОБСЛУЖИВАНИЕМ";"638862507";
"02.02.05.06.06";"ВЫПОЛНЕНИЕ ПРОЕКТНО-ИЗЫСКАТЕЛЬСКИХ РАБОТ ПО ОБЪЕКТАМ ВОДООТВЕДЕНИЯ ПОВЕРХНОСТНОГО СТОКА";"638862511";
"02.02.05.08";"ВЫПОЛНЕНИЕ ПРОЕКТНО-ИЗЫСКАТЕЛЬСКИХ РАБОТ ПО СПОРТИВНЫМ ОБЪЕКТАМ";"638862513";
"02.02.05.08.08";"ВЫПОЛНЕНИЕ ПРОЕКТНО-ИЗЫСКАТЕЛЬСКИХ РАБОТ ПО ОБЪЕКТАМ СПОРТИВНЫХ КОМПЛЕКСОВ";"638862515";
"02.02.05.11.01";"ВЫПОЛНЕНИЕ ПРОЕКТНО-ИЗЫСКАТЕЛЬСКИХ РАБОТ ПО ОБЪЕКТАМ ХРАНЕНИЯ И УТИЛИЗАЦИИ ОТХОДОВ";"638862517";
"02.02.05.13.04";"ВЫПОЛНЕНИЕ ПРОЕКТНО-ИЗЫСКАТЕЛЬСКИХ РАБОТ ПО ОФИСНЫМ ОБЪЕКТАМ";"638862521";
"01.15.05.03.02";"КАРМАНЫ, ДЕРЖАТЕЛИ, ПОДСТАВКИ ИНФОРМАЦИОННЫЕ";"638862523";
"01.15.05.02.06.01";"МАТЕРИАЛЫ РАСХОДНЫЕ ДЛЯ СШИВАНИЯ И ПЕРЕПЛЕТА ДОКУМЕНТОВ ПЛАСТИКОВЫЕ";"638862525";
"01.15.07.05.01";"ПОДСТАВКИ ДЛЯ КНИГ МЕТАЛЛИЧЕСКИЕ";"638862527";
"02.02.05.19";"ВЫПОЛНЕНИЕ ПРОЕКТНО-ИЗЫСКАТЕЛЬСКИХ РАБОТ ПО ОБЪЕКТАМ ВЕТЕРИНАРИИ, ПО УХОДУ И СОДЕРЖАНИЮ ЖИВОТНЫХ";"638862533";
"02.02.05.20";"ВЫПОЛНЕНИЕ ПРОЕКТНО-ИЗЫСКАТЕЛЬСКИХ РАБОТ ПО КУЛЬТОВЫМ И РЕЛИГИОЗНЫМ ОБЪЕКТАМ";"638862535";
"02.02.05.23.01";"ВЫПОЛНЕНИЕ ПРОЕКТНО-ИЗЫСКАТЕЛЬСКИХ РАБОТ ПО ОБЪЕКТАМ ДАЧНЫХ И САДОВЫХ ДОМОВ, РАСПОЛОЖЕННЫХ НА САДОВЫХ, ОГОРОДНЫХ И ДАЧНЫХ ЗЕМЕЛЬНЫХ УЧАСТКАХ";"638862537";
"02.03.01.02.02";"СТРОИТЕЛЬСТВО СПОРТИВНЫХ СООРУЖЕНИЙ";"638862539";
"02.03.02.06";"СТРОИТЕЛЬСТВО ОБЪЕКТОВ ГАЗОСНАБЖЕНИЯ";"638862545";
"02.04.01.02.04";"РЕКОНСТРУКЦИЯ ЗДАНИЙ И СООРУЖЕНИЙ КУЛЬТУРЫ И ОБРАЗОВАНИЯ";"638862549";
"02.04.03.02";"РЕКОНСТРУКЦИЯ ТРАНСПОРТНЫХ ОБЪЕКТОВ";"638862551";
"02.04.04";"РЕКОНСТРУКЦИЯ ТЕРРИТОРИЙ";"638862555";
"03.31.03.05.01.13";"АРЕНДА БУЛЬДОЗЕРОВ С ЭКИПАЖЕМ";"638862557";
"03.31.03.05.01.28";"АРЕНДА МНОГОФУНКЦИОНАЛЬНЫХ КОММУНАЛЬНО-УБОРОЧНЫХ МАШИН С ЭКИПАЖЕМ";"638862559";
"03.31.03.05.02.03";"АРЕНДА АВТОБЕТОНОСМЕСИТЕЛЕЙ БЕЗ ЭКИПАЖА";"638862561";
"03.31.03.05.02.04";"АРЕНДА АВТОГРЕЙДЕРОВ БЕЗ ЭКИПАЖА";"638862563";
"03.31.03.05.02.15";"АРЕНДА ДОРОЖНЫХ ЛАБОРАТОРИЙ БЕЗ ЭКИПАЖА";"638862565";
"03.31.03.05.02.42";"АРЕНДА ЭКСКАВАТОРОВ БЕЗ ЭКИПАЖА";"638862567";
"02.05.01.01.01";"РЕМОНТ КАПИТАЛЬНЫЙ МНОГОКВАРТИРНЫХ ДОМОВ";"638862569";
"02.05.02.01";"РЕМОНТ КАПИТАЛЬНЫЙ ОБЪЕКТОВ ПРОМЫШЛЕННОСТИ, СЕЛЬСКОГО ХОЗЯЙСТВА, НАУЧНО-ИННОВАЦИОННОЙ ИНФРАСТРУКТУРЫ";"638862575";
"02.05.02.02.03";"РЕМОНТ КАПИТАЛЬНЫЙ ЖЕЛЕЗНЫХ ДОРОГ И ОБЪЕКТОВ ИНФРАСТРУКТУРЫ ЖЕЛЕЗНОДОРОЖНОГО ТРАНСПОРТА";"638862577";
"02.05.02.05";"РЕМОНТ КАПИТАЛЬНЫЙ ОБЪЕКТОВ ЭЛЕКТРОСНАБЖЕНИЯ";"638862583";
"02.05.02.05.02";"РЕМОНТ КАПИТАЛЬНЫЙ ЭЛЕКТРОУСТАНОВОК (ЭЛЕКТРОПОДСТАНЦИЙ)";"638862585";
"02.05.02.09";"РЕМОНТ КАПИТАЛЬНЫЙ ОБЪЕКТОВ НАРУЖНОГО ОСВЕЩЕНИЯ";"638862587";
"02.06.02.02.09";"РЕМОНТ ТЕКУЩИЙ ЭЛЕКТРИЧЕСКИХ СЕТЕЙ НА ТРАНСПОРТНЫХ ОБЪЕКТАХ";"638862599";
"02.07.02";"РЕСТАВРАЦИЯ ХУДОЖЕСТВЕННЫХ ИЗДЕЛИЙ ДЛЯ ИНТЕРЬЕРА ПОМЕЩЕНИЙ";"638862607";
"01.20.04";"ХИМИЯ БЫТОВАЯ";"638862609";
"01.20.05";"КОСМЕТИКА, ПАРФЮМЕРИЯ, ПРЕДМЕТЫ ГИГИЕНЫ";"638862611";
"02.08.03";"ОБРАБОТКА МАТЕРИАЛОВ ЭКОЛОГИЧЕСКОГО ИССЛЕДОВАНИЯ КАМЕРАЛЬНАЯ";"638862613";
"02.09.01";"РАБОТЫ ТОПОГРАФИЧЕСКИЕ ПОЛЕВЫЕ";"638862615";
"02.10.02";"СОЗДАНИЕ ЦИФРОВЫХ, ЭЛЕКТРОННЫХ КАРТ";"638862617";
"02.11.03.01";"РЕМОНТ РАДИОЭЛЕКТРОННОГО ОБОРУДОВАНИЯ";"638862619";
"02.11.03.99";"РЕМОНТ ПРОЧЕГО ОБОРУДОВАНИЯ";"638862621";
"02.12.03.07";"МОНТАЖ, УСТАНОВКА, СБОРКА СИСТЕМ ПОЖАРОТУШЕНИЯ";"638862623";
"02.12.10";"МОНТАЖ, УСТАНОВКА, СБОРКА ДОПОЛНИТЕЛЬНОГО ОБОРУДОВАНИЯ НА ТРАНСПОРТНЫХ СРЕДСТВАХ";"638862625";
"02.13.02.99";"РАБОТЫ ОПЫТНО-КОНСТРУКТОРСКИЕ ЕСТЕСТВЕННОНАУЧНЫЕ ПРОЧИЕ";"638862627";
"02.17.06";"ИЗГОТОВЛЕНИЕ ПЕЧАТЕЙ, ШТАМПОВ";"638862633";
"03.01";"УСЛУГИ МЕДИЦИНСКИЕ";"638862637";
"03.01.03";"МЕДИЦИНСКАЯ ПОМОЩЬ СПЕЦИАЛИЗИРОВАННАЯ";"638862639";
"03.01.03.02";"МЕДИЦИНСКАЯ ПОМОЩЬ СПЕЦИАЛИЗИРОВАННАЯ В СТАЦИОНАРНЫХ УСЛОВИЯХ";"638862643";
