"Name";"Idx";"Razdel";"Kod";"Nomdescr";"global_id";
"Наименование";"Индекс";"Код раздела";"Код";"Описание";"global_id";
"Услуги библиотек";"R.91.01.11";"R";"91.01.11";"Эта группировка включает: - услуги по комплектованию, каталогизации, хранению и восстановлению книг и аналогичные услуги; - услуги по выдаче книг и записей; - услуги библиотек фотографий и кино Эта группировка не включает: - услуги по прокату видеокассет и цифровых видеокассет (DVD), см. 77.22.10; - услуги по прокату книг, см. 77.29.19";"273496846";
"Услуги библиотек";"R.91.01.11.000";"R";"91.01.11.000";"";"273496850";
"Услуги архивов";"R.91.01.12";"R";"91.01.12";"Эта группировка включает: - услуги, связанные с деятельностью (комплектование, каталогизация, хранение и восстановление) государственных архивов, включая цифровые архивы; - услуги, связанные с деятельностью исторических архивов, включая цифровые архивы";"273496852";
"Услуги архивов";"R.91.01.12.000";"R";"91.01.12.000";"";"273496853";
"Услуги музеев";"R.91.02";"R";"91.02";"";"273496855";
"Услуги музеев";"R.91.02.1";"R";"91.02.1";"";"273496856";
"Услуги музеев";"R.91.02.10";"R";"91.02.10";"Эта группировка включает: - услуги по показу экспозиций всех видов (художественных, научных и технических, исторических и др.); - услуги по управлению коллекциями и обеспечению их хранения; - услуги по демонстрации коллекций на выезд Эта группировка не включает: - услуги по продаже и демонстрации, осуществляемые коммерческими художественными галереями, см. 47.00.69; - услуги по реставрации произведений искусства и музейных коллекционных предметов, см. 90.03.11; - услуги библиотек и архивов, см. 91.01.1; - услуги исторических мест и зданий, см. 91.03.10; - услуги ботанических садов и зоопарков, см. 91.04.11";"273496858";
"Услуги музеев";"R.91.02.10.000";"R";"91.02.10.000";"";"273496859";
"Коллекции музейные";"R.91.02.2";"R";"91.02.2";"";"273496861";
"Коллекции музейные";"R.91.02.20";"R";"91.02.20";"Эта группировка включает: - коллекции и коллекционные предметы исторического, этнографического, зоологического, ботанического, минералогического, анатомического или нумизматического характера";"273496862";
"Коллекции музейные";"R.91.02.20.000";"R";"91.02.20.000";"";"273496864";
"Услуги, связанные с деятельностью по использованию исторических мест, зданий и аналогичных туристических достопримечательностей";"R.91.03";"R";"91.03";"";"273496866";
"Услуги, связанные с деятельностью по использованию исторических мест, зданий и аналогичных туристических достопримечательностей";"R.91.03.1";"R";"91.03.1";"";"273496868";
"Услуги, связанные с деятельностью по использованию исторических мест, зданий и аналогичных туристических достопримечательностей";"R.91.03.10";"R";"91.03.10";"Эта группировка включает: - услуги, связанные с деятельностью по использованию исторических мест, памятников и зданий, с доступом к ним и посещением; - услуги по охране исторических мест, памятников и зданий Эта группировка не включает: - услуги по реновации и реставрации исторических мест и зданий, см. секцию F";"273496869";
"Услуги, связанные с деятельностью по использованию исторических мест, зданий и аналогичных туристических достопримечательностей";"R.91.03.10.000";"R";"91.03.10.000";"";"273496871";
"Услуги ботанических садов, зоопарков и природных заповедников";"R.91.04";"R";"91.04";"";"273496873";
"Услуги ботанических садов, зоопарков и природных заповедников";"R.91.04.1";"R";"91.04.1";"Эта группировка не включает: - услуги, связанные с ландшафтной и садовой деятельностью, см. 81.30.10";"273496875";
"Услуги ботанических садов и зоопарков";"R.91.04.11";"R";"91.04.11";"Эта группировка включает: - услуги, связанные с деятельностью ботанических садов и зоопарков, доступом к ним и посещением; - услуги по сохранению и содержанию ботанических садов и зоопарков Эта группировка не включает: - услуги природных заповедников, см. 91.04.12";"273496876";
"Услуги дендрологических парков и ботанических садов";"R.91.04.11.110";"R";"91.04.11.110";"";"273496877";
"Услуги зоопарков";"R.91.04.11.120";"R";"91.04.11.120";"";"273496880";
"Услуги природных заповедников, включая услуги по охране живой природы";"R.91.04.12";"R";"91.04.12";"Эта группировка включает: - услуги, связанные с деятельностью национальных парков, природных парков и заповедников, доступом к ним и посещением; - услуги по надзору за национальными парками, природными парками и заповедниками; - услуги по сохранению и содержанию национальных парков, природных парков и заповедников Эта группировка не включает: - услуги, связанные с деятельностью заповедников для спортивного рыболовства и охотничьих заказников, см. 93.19.13";"273496882";
"Услуги природных заповедников (в том числе биосферных)";"R.91.04.12.110";"R";"91.04.12.110";"";"273496883";
